"ab 13 Uhr","ابتداءً من الساعة الواحدة"
"Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben.","يمكنك أن تأتي وتتوجه إلينا حتى لو لم يكن لديك وضع إقامة آمن."
"Sie können zu uns kommen:","يمكنك الحضور إلينا:"
"Spendenkonto","التبرعات"
"Telefon","هاتف"
"Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen.","دوراتنا الخاصة باللغة موجّهة بشكل أساسي للأشخاص الذين لا يُسمح لهم بحضور دورات الاندماح"
"Versuchen Sie es einfach!","قم بالتجربة فحسب!"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","إذا كنت تحتاج إلى مساعدة مترجم أو مترجمة أثناء حصولك على الاستشارة، نرجو أن تتصل بنا مسبقاً لتعلمنا بذلك."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","إن لم تكن تعرف كيفية الاستمرار بحياتك."
"Wenn Sie oft große Angst haben.","إن كنت تشعر بالقلق والخوف في أغلب الأوقات."
"Wenn Sie schlecht schlafen.","إن كنت تواجه مشاكل في النوم."
"Wenn Sie sehr oft traurig sind.","إن كنت تشعر بالحزن الشديد في أغلب الأوقات."
"Wenn Sie sich hilflos fühlen.","إن كنت تشعر بالعجز."
"Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch.","نحن نقدم الاستشارة في لغاتٍ كثيرة وعلى سبيل المثال: العربية، الكردية، الفارسية، الفرنسية وحتى الروسية.."
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","نقدم جلسات استشارية حول حقوق اللجوء والإقامة."
"Wir beraten zu Ihren Rechten und Möglichkeiten und unterstützen beim Stellen von Anträgen.","نحن نقدّم الاستشارة حول حقوقك والإمكانيات المتاحة لك، كما نساعدك بتقديم الطلبات."
"Wir haben Kurse für Anfänger*innen (A1.1, A1.2, A2.1, A2.2) und für Fortgeschrittene (B1, B2).","لدينا دورات لغة للمبتدئين (A1-A2) وكذلك للمتقدّمين (B1-B2)."
"Wir hören Ihnen zu.","نحن نستمع وننصت إليك."
"Wir können Ihnen aber helfen, ein Gerichtsverfahren zu beginnen und eine Anwält*in zu finden.",""
"Wir können Sie auch anonym beraten.","نستطيع تقديم الاستشارة أيضاً دون الكشف عن هويتك"
"Wir können Sie nicht vor Gericht vertreten.","لا نتحمل مسؤولية أي إجراءات قانونية أمام المحكمة."
"Wir machen keine Psychotherapie, aber wir können Ihnen helfen, eine Therapie zu finden.","نحن لا نقوم بجلسات معالجة نفسية ولكن نساعدك على إيجادها "
"Wir sind eine unabhängige Beratungsstelle.","نحن مركز استشاري مستقلّ."
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","سنبحث معاً عن طرق للتغلب على مشاكلك."
